account_id;disp_id;client_id;account_id_acct;district_id_bank;stmt_frq;date_acct;type_disp;loan_id;date_loan;amount;duration;payments;status;date_birth;district_id_client;gender;card_id;type_card;min1;max1;mean1;min2;max2;mean2;min3;max3;mean3;min4;max4;mean4;min5;max5;mean5;min6;max6;mean6;response;has_card;idade;days_between
10351;12430;12738;10351;23;monthly;1995-05-04;owner;7115;1997-03-04;88704;48;1848.0;C;1960-10-29;23;1;;;11853.6;9953.6;18891.7448;12052.4;800.0;19204.56355932204;12052.4;800.0;19397.299099099102;13704.8;800.0;19686.062857142864;13704.8;800.0;19914.76734693878;13704.8;800.0;19977.38913043479;1;0;36;670
10351;12431;12739;10351;23;monthly;1995-05-04;disponent;7115;1997-03-04;88704;48;1848.0;C;1958-01-17;23;0;;;11853.6;9953.6;18891.7448;12052.4;800.0;19204.56355932204;12052.4;800.0;19397.299099099102;13704.8;800.0;19686.062857142864;13704.8;800.0;19914.76734693878;13704.8;800.0;19977.38913043479;1;0;39;670
10436;12532;12840;10436;60;monthly;1996-03-21;owner;7136;1996-09-28;54396;36;1511.0;C;1939-07-27;60;0;;;18196.0;8296.0;27385.443750000002;18196.0;8296.0;23910.691666666666;18196.0;8296.0;20539.822222222225;18196.0;8296.0;15875.900000000001;18196.0;8296.0;11378.95;800.0;800.0;800.0;1;0;57;191
4937;5965;5965;4937;12;monthly;1993-02-20;owner;6004;1994-07-23;143904;24;5996.0;A;1951-04-10;50;0;;;100282.7;96774.9;49212.63181818183;100282.7;96774.9;47171.61311475411;100282.7;96774.9;47662.511504424794;100282.7;96774.9;48624.17692307692;100282.7;96774.9;49023.68659793816;100282.7;96774.9;49524.962499999994;1;0;43;518
675;810;810;675;58;monthly;1995-08-03;owner;5110;1997-04-01;102240;60;1704.0;C;1945-09-24;58;1;142;classic;10438.0;900.0;29672.60504201679;10438.0;900.0;29601.857657657638;10438.0;900.0;29692.922999999984;10438.0;900.0;29230.451086956506;10438.0;900.0;28706.836046511617;10438.0;900.0;28522.888607594923;1;1;51;607
675;811;811;675;58;monthly;1995-08-03;disponent;5110;1997-04-01;102240;60;1704.0;C;1940-05-28;58;0;;;10438.0;900.0;29672.60504201679;10438.0;900.0;29601.857657657638;10438.0;900.0;29692.922999999984;10438.0;900.0;29230.451086956506;10438.0;900.0;28706.836046511617;10438.0;900.0;28522.888607594923;1;0;56;607
9030;10813;11121;9030;72;monthly;1995-01-21;owner;6818;1996-12-12;155616;48;3242.0;C;1971-04-10;72;1;;;17792.0;73261.2;43766.96909090906;17792.0;73261.2;43560.12038216557;17792.0;73261.2;43344.945637583856;17792.0;73261.2;43339.68450704222;17792.0;73261.2;43543.7822222222;17792.0;73261.2;44716.1087301587;1;0;25;691
9030;10814;11122;9030;72;monthly;1995-01-21;disponent;6818;1996-12-12;155616;48;3242.0;C;1979-06-10;72;0;;;17792.0;73261.2;43766.96909090906;17792.0;73261.2;43560.12038216557;17792.0;73261.2;43344.945637583856;17792.0;73261.2;43339.68450704222;17792.0;73261.2;43543.7822222222;17792.0;73261.2;44716.1087301587;1;0;17;691
9583;11486;11794;9583;31;weekly;1994-05-22;owner;6949;1995-12-12;104712;24;4363.0;A;1970-10-07;31;1;;;116809.2;97532.7;52700.12647058825;116809.2;91500.7;49384.44021739131;116809.2;910.8;45273.56867469881;116809.2;910.8;43918.08266666668;116809.2;910.8;44226.592647058846;116809.2;910.8;41260.86034482761;1;0;25;569
9583;11487;11795;9583;31;weekly;1994-05-22;disponent;6949;1995-12-12;104712;24;4363.0;A;1977-02-23;31;0;;;116809.2;97532.7;52700.12647058825;116809.2;91500.7;49384.44021739131;116809.2;910.8;45273.56867469881;116809.2;910.8;43918.08266666668;116809.2;910.8;44226.592647058846;116809.2;910.8;41260.86034482761;1;0;18;569
8092;9687;9995;8092;54;monthly;1995-01-11;owner;6659;1996-02-20;56100;60;935.0;C;1958-07-07;54;0;;;1000.0;9899.1;20549.230158730166;1000.0;9899.1;21229.274545454544;1000.0;9847.3;22331.20833333333;1000.0;45346.1;23742.93414634145;1000.0;45346.1;25002.09999999999;1000.0;45346.1;26157.734482758613;1;0;37;405
1808;2190;2190;1808;28;monthly;1997-05-16;owner;5318;1998-09-30;385584;48;8033.0;C;1974-10-22;28;0;;;106530.1;98638.1;71744.03055555554;106530.1;98638.1;71683.16875000001;106530.1;98638.1;70528.38474576273;107258.7;97704.5;66586.64693877552;107258.7;97704.5;64685.45609756099;107258.7;97704.5;60002.15294117648;1;0;23;502
1808;2191;2191;1808;28;monthly;1997-05-16;disponent;5318;1998-09-30;385584;48;8033.0;C;1979-08-04;28;1;;;106530.1;98638.1;71744.03055555554;106530.1;98638.1;71683.16875000001;106530.1;98638.1;70528.38474576273;107258.7;97704.5;66586.64693877552;107258.7;97704.5;64685.45609756099;107258.7;97704.5;60002.15294117648;1;0;19;502
2725;3291;3291;2725;52;monthly;1997-04-02;owner;5526;1998-11-08;69624;36;1934.0;C;1947-01-23;52;0;517;classic;1100.0;74473.4;48848.771223021584;1100.0;74473.4;48680.174045801534;1100.0;74473.4;48577.12704918033;1100.0;74473.4;48909.83893805309;1100.0;74225.6;48966.407692307694;1100.0;74225.6;48824.17916666667;1;1;51;585
4127;4968;4968;4127;50;monthly;1996-05-03;owner;5817;1997-08-15;100800;24;4200.0;D;1938-05-26;50;0;;;-1033.8;92354.7;28517.63666666666;-634.4;92354.7;30629.674999999992;10872.5;92354.7;34390.41999999999;10872.5;92354.7;37366.49772727273;11200.0;92354.7;39841.53939393939;11200.0;92354.7;42296.14230769231;0;0;59;469
5181;6257;6257;5181;75;monthly;1996-02-03;owner;6055;1997-04-28;399120;60;6652.0;C;1942-08-20;75;1;;;12000.0;85656.2;43888.80178571428;12000.0;85656.2;45365.217307692285;12000.0;85656.2;47899.044680851046;12000.0;85656.2;49629.49999999998;12000.0;85656.2;51363.49666666664;12000.0;85656.2;48992.67142857142;1;0;54;450
666;798;798;666;27;monthly;1996-03-15;owner;5103;1997-11-28;12540;12;1045.0;A;1940-02-12;27;1;140;classic;14858.0;57779.4;41539.73636363639;14858.0;57779.4;41337.90073529414;14858.0;57779.4;40905.26850393702;14858.0;57779.4;40216.51525423731;14858.0;57779.4;39706.835714285735;14858.0;57779.4;38930.43495145633;1;1;57;623
666;799;799;666;27;monthly;1996-03-15;disponent;5103;1997-11-28;12540;12;1045.0;A;1936-02-19;27;0;;;14858.0;57779.4;41539.73636363639;14858.0;57779.4;41337.90073529414;14858.0;57779.4;40905.26850393702;14858.0;57779.4;40216.51525423731;14858.0;57779.4;39706.835714285735;14858.0;57779.4;38930.43495145633;1;0;61;623
7418;8888;9196;7418;21;monthly;1995-04-07;owner;6501;1996-04-29;30276;12;2523.0;B;1939-04-23;21;1;;;1000.0;8322.5;31481.05952380953;1000.0;8322.5;31864.918421052636;1000.0;8322.5;32901.12058823532;1000.0;8322.5;33364.7551724138;1000.0;8322.5;33791.80754716982;1000.0;8322.5;34767.38666666667;0;0;57;388
1528;1852;1852;1528;50;monthly;1996-06-08;owner;5270;1997-07-21;191088;48;3981.0;C;1962-09-05;50;0;;;12325.4;57550.1;32398.580555555553;12325.4;57550.1;32741.56666666666;12325.4;57550.1;33574.67288135592;17164.7;57550.1;34555.93773584905;17164.7;57550.1;35537.46888888888;17244.3;57550.1;37199.23684210526;1;0;34;408
3249;3929;3929;3249;74;monthly;1996-10-11;owner;5638;1997-08-27;68124;12;5677.0;A;1957-11-01;74;0;;;10823.6;63669.3;30304.751111111116;10823.6;63669.3;31709.374358974368;1100.0;63669.3;33885.941935483876;1100.0;63669.3;36230.064000000006;1100.0;63669.3;39326.694117647065;1100.0;63669.3;38324.025;1;0;39;320
718;861;861;718;1;monthly;1996-03-03;owner;5117;1997-08-20;76944;12;6412.0;A;1956-09-13;1;1;151;classic;10311.6;9256.2;35704.097979797974;10311.6;9256.2;33804.25777777777;10311.6;9256.2;34300.46585365853;10311.6;80188.6;35738.67297297297;10311.6;80188.6;36675.18382352941;10311.6;80188.6;37856.57213114755;1;1;40;535
544;655;655;544;32;monthly;1995-05-15;owner;5088;1996-08-22;91152;24;3798.0;A;1942-12-10;32;0;119;classic;17217.2;72327.7;44534.57826086956;17217.2;72327.7;43799.690476190466;17217.2;72327.7;42921.72142857142;17217.2;72327.7;42170.02549019607;17217.2;72327.7;41649.27777777777;17217.2;72327.7;40537.67249999999;1;1;53;465
10365;12448;12756;10365;22;monthly;1995-09-02;owner;7122;1997-01-04;260640;36;7240.0;D;1949-01-21;22;1;;;1000.0;88731.8;34623.97428571429;1000.0;88731.8;37132.204761904766;1000.0;88731.8;39058.84814814815;1000.0;88731.8;39638.58409090909;1000.0;88731.8;43655.37142857143;1000.0;88731.8;46911.549999999996;0;0;47;490
9024;10806;11114;9024;1;monthly;1996-01-05;owner;6817;1996-10-04;70656;48;1472.0;C;1952-07-26;1;0;;;14802.3;600.0;33543.54347826087;14802.3;600.0;34946.05789473684;15478.0;600.0;36963.93548387097;15478.0;600.0;38434.94090909091;15478.0;600.0;34444.80588235294;15478.0;600.0;29806.29230769231;1;0;44;273
9656;11578;11886;9656;61;monthly;1993-11-14;owner;6965;1995-06-13;139536;24;5814.0;A;1941-09-13;61;1;;;101450.4;99106.0;64397.36603773589;101450.4;99106.0;61374.998666666725;10372.2;99106.0;58782.24285714291;10372.2;98295.7;56632.20992366419;10372.2;98295.7;56668.16557377057;10372.2;94409.7;57286.2383177571;1;0;53;576
2720;3284;3284;2720;2;weekly;1997-06-16;owner;5525;1998-04-27;93888;36;2608.0;C;1936-07-02;2;0;;;100000.2;96025.1;72314.3373493976;100000.2;96025.1;74620.92727272732;100000.2;96025.1;74632.06478873246;100000.2;96025.1;76309.81551724143;100000.2;96025.1;76564.31136363643;100000.2;96025.1;73960.48484848488;1;0;61;315
2720;3285;3285;2720;2;weekly;1997-06-16;disponent;5525;1998-04-27;93888;36;2608.0;C;1943-09-17;2;1;;;100000.2;96025.1;72314.3373493976;100000.2;96025.1;74620.92727272732;100000.2;96025.1;74632.06478873246;100000.2;96025.1;76309.81551724143;100000.2;96025.1;76564.31136363643;100000.2;96025.1;73960.48484848488;1;0;54;315
3953;4768;4768;3953;1;monthly;1997-06-16;owner;5782;1998-01-04;63576;12;5298.0;C;1960-04-03;1;1;;;32286.0;98852.6;59930.75999999999;32286.0;95028.2;54167.02941176469;32286.0;83760.5;48109.17692307692;32286.0;65014.3;39183.87777777777;32286.0;500.0;26451.5;500.0;500.0;500.0;1;0;37;202
4415;5322;5322;4415;73;monthly;1995-07-05;owner;5878;1997-04-01;74040;12;6170.0;A;1956-03-13;73;1;;;14415.1;73209.0;44199.78426966294;14415.1;73209.0;44523.43293413175;14415.1;73209.0;43952.58366013074;14415.1;70929.0;42965.37552447554;14415.1;70929.0;42786.430597014936;14415.1;70929.0;42844.77120000002;1;0;41;636
8931;10696;11004;8931;63;weekly;1996-01-01;owner;6793;1997-01-30;186300;60;3105.0;C;1947-11-16;63;0;1081;classic;102129.7;95859.1;63910.90740740746;102129.7;95859.1;59307.68000000006;102153.1;95859.1;51762.84936708865;102153.1;95859.1;46326.43030303034;102153.1;95859.1;44283.92142857146;102153.1;95859.1;45256.80217391308;1;1;49;395
2545;3072;3072;2545;1;monthly;1996-12-04;owner;5491;1998-02-13;428784;48;8933.0;C;1936-04-14;1;0;;;10507.4;9836.4;23452.247422680422;10507.4;9836.4;23873.616091954034;10507.4;9836.4;22549.71153846155;10507.4;9836.4;22031.29000000001;10507.4;9836.4;21704.195161290332;10507.4;9836.4;23778.64905660378;1;0;61;436
2545;3073;3073;2545;1;monthly;1996-12-04;disponent;5491;1998-02-13;428784;48;8933.0;C;1937-10-23;1;1;;;10507.4;9836.4;23452.247422680422;10507.4;9836.4;23873.616091954034;10507.4;9836.4;22549.71153846155;10507.4;9836.4;22031.29000000001;10507.4;9836.4;21704.195161290332;10507.4;9836.4;23778.64905660378;1;0;60;436
